stateName,-,258 CrPC,abated,absconding,acquittal,complaint returned,compounded,convicted,decree,default,discharged,ex parte,non-maintainable,non-prosecution,registered as CC,settlement,sine-die,transfer,withdrawn,total
Andhra Pradesh,21.4,0.0,0.2,0.0,8.2,4.7,0.0,6.1,2.0,3.9,0.6,0.6,0.0,1.6,0.0,11.7,0.0,27.5,11.4,100.0
Chandigarh,6.1,0.0,0.1,44.5,2.1,1.8,0.0,2.4,0.3,0.3,0.3,0.0,3.7,2.6,0.0,0.0,0.1,1.3,34.3,100.0
Delhi,9.9,0.0,0.8,4.3,1.4,1.6,25.4,0.9,0.2,3.6,0.1,0.1,0.1,9.4,0.0,16.8,1.3,6.5,17.7,100.0
Goa,96.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.4,2.9,100.0
Gujarat,27.7,0.0,1.1,0.0,1.3,4.5,0.0,3.6,0.0,4.5,0.0,0.3,0.0,0.4,0.4,42.6,0.0,6.3,7.2,100.0
Haryana,10.0,0.0,1.2,14.4,3.6,1.0,0.3,6.0,0.3,0.5,0.1,0.3,0.1,4.0,0.0,0.1,2.2,5.3,50.6,100.0
Himachal Pradesh,32.1,0.0,0.7,2.2,1.6,0.0,0.4,8.6,0.6,2.2,0.1,0.0,0.4,0.3,0.0,8.5,0.0,6.8,35.2,100.0
Karnataka,25.3,0.0,0.3,0.0,2.5,1.6,0.2,4.8,1.2,2.7,0.3,0.1,0.0,0.5,32.4,15.1,0.0,11.5,1.5,100.0
Maharashtra,25.8,0.5,0.4,0.0,1.6,6.0,2.1,2.1,0.3,0.1,0.2,0.0,0.0,0.0,0.0,35.0,0.0,9.2,16.7,100.0
Punjab,10.9,0.0,0.5,26.9,2.2,1.4,0.0,4.5,0.4,1.9,0.4,0.3,0.1,3.2,0.0,0.2,0.5,2.1,44.5,100.0
